,Name,Latitude,Longitude,High Temp,Humidity,Clouds,Wind Speed
479,Saint Anthony,43.97,-111.68,64.94,35,1,6.93
480,Yabrud,33.97,36.66,68.0,37,0,2.73
481,Sorong,-0.86,131.25,84.48,97,0,7.09
482,Olovyannaya,50.94,115.59,58.92,54,0,4.41
483,Tshane,-24.02,21.87,68.28,50,48,10.67
484,Nefteyugansk,61.09,72.61,42.8,93,75,13.42
485,Bacungan,9.87,118.73,87.8,66,75,6.93
486,Rongcheng,37.16,122.42,68.37,61,0,18.16
487,Teya,21.05,-89.07,82.4,78,20,3.36
488,Ajdabiya,30.75,20.22,57.3,85,0,2.95
489,Marsh Harbour,26.54,-77.06,83.22,100,44,19.73
490,Koundara,12.49,-13.3,71.88,99,92,3.96
491,Kharan,28.58,65.42,59.1,30,0,1.61
492,Varia,38.6,21.58,62.6,100,75,6.53
493,Kongolo,-5.39,27.0,69.45,95,20,2.73
494,Pitimbu,-7.47,-34.81,77.0,83,40,6.93
495,Bowen,-20.01,148.25,80.6,51,40,16.11
496,Lazaro Cardenas,28.39,-105.62,66.2,59,5,6.93
497,Zhezkazgan,47.8,67.71,44.6,65,0,4.47
498,Dzhebariki-Khaya,62.22,135.8,40.11,45,0,8.1
499,Port Lincoln,-34.72,135.86,61.89,77,36,14.7
500,Anadyr,64.73,177.51,50.0,93,40,38.03
501,Salisbury,51.07,-1.8,44.6,93,1,4.07
502,Shenjiamen,29.96,122.3,77.1,83,0,26.33
503,Itupiranga,-5.13,-49.33,80.6,78,0,3.36
504,Dingle,11.0,122.67,80.7,92,64,7.09
505,Bembereke,10.23,2.66,69.9,97,8,2.95
506,Klyuchi,52.25,79.17,52.62,54,0,4.52
507,Amarkantak,22.67,81.76,81.87,55,0,3.74
508,Mount Gambier,-37.83,140.78,60.72,75,0,3.51
509,Siavonga,-16.54,28.71,78.81,45,0,16.15
510,Maniitsoq,65.42,-52.9,37.05,94,80,8.99
511,Sao Filipe,14.9,-24.5,76.74,100,88,8.66
512,Toowoomba,-27.56,151.95,62.6,72,24,19.46
513,Zuwarah,32.93,12.08,67.74,100,0,2.17
514,Zhangjiakou,40.77,114.88,46.5,65,24,20.07
515,Bukama,-9.2,25.85,67.92,89,20,2.73
516,Bitam,2.08,11.49,71.52,98,88,2.39
517,Winchester,51.06,-1.31,44.6,93,8,2.24
518,Takoradi,4.89,-1.75,76.47,100,68,6.42
519,Pinar del Rio,22.42,-83.7,81.78,78,76,5.41
520,Sorland,67.67,12.69,48.93,100,76,19.06
521,Oliver,49.18,-119.55,55.4,62,90,4.7
522,Kalmunai,7.42,81.82,77.73,95,88,4.52
523,Stokmarknes,68.56,14.91,44.97,100,92,8.43
524,Praia,-20.25,-43.81,71.6,78,0,6.93
525,Adeje,5.68,5.76,74.85,100,92,3.06
526,Sereflikochisar,38.94,33.54,52.98,100,20,2.51
527,Teknaf,20.86,92.31,86.73,84,0,1.5
528,Hagerstown,39.64,-77.72,62.6,88,1,4.7
529,Leninskoye,54.82,82.85,51.8,57,0,13.42
530,Chicama,-7.84,-79.15,62.6,88,75,10.29
531,Brighton,50.82,-0.14,41.0,93,0,1.12
532,Ostrovnoy,68.05,39.51,24.81,90,0,12.24
533,Kupang,-10.16,123.6,95.0,34,20,17.22
534,Kiri Buru,22.08,85.35,83.85,66,0,3.51
535,Khasan,42.43,130.64,64.95,88,36,10.45
536,Lakes Entrance,-37.88,147.99,58.29,77,0,6.98
537,Ginda,30.69,78.49,58.2,80,0,1.95
538,Oriximina,-1.77,-55.87,86.01,60,0,5.97
539,Camabatela,-8.19,15.37,66.12,99,88,3.06
